1,teacher1,teacher1,Rukesh,Shrestha,Gaushala,9865952671,4CI018 6CS005 4CI001
2,teacher2,teacher2,Ozone,Bhattarai,Baneshwor,9859667571,4MM013 6CS005 6CS014 4CI002
3,teacher3,teacher3,Sugam,Karki,Basantapur,9865927351,4CS016 6MM026 4CI003
4,teacher4,teacher4,Apple,Thapa,Sankhu,9865927900,4CS015 6MM029 4CI004
5,teacher5,teacher5,Banana,Pokhrel,Danchhi,9865927421,4CS017 4MM001 6CS012
6,teacher6,teacher6,Bishal,Thapa,Chabahil,9865945271,4CS001 4CS018 6CS027
7,teacher7,teacher7,Bishal,Shrestha,Bouddha,9865777771,4MM025 4MM002 6CS025
8,teacher8,teacher8,Susan,Shreshta,Tusal,9865927102,4CS017 4MM014 6CS028
9,teacher9,teacher9,Siddhartha,Gautam,Naxal,9865910945,5CI023 5MM025 6CS035
10,teacher10,teacher10,Marigold,Rai,Thali,9865927575,5CI021 5CS024 6CS036
11,teacher11,teacher11,Manita,Thapa,Chabahil,9865927512,5CI022 5CS022 6CS037
12,teacher12,teacher12,Aditi,Gautam,Bouddha,9865921231,5MM014 5CS021 6CS038
13,teacher13,teacher13,Srijal,Prajapati,Tusal,9861234571,5CS019 5CS020 6CS039
14,teacher14,teacher14,Ronal,Bista,Naxal,98651234571,5CS037 5CS038 6CS040
15,teacher15,teacher15,Nisha,Gurung,Thali,9865923412,5CS020 5CS025
16,teacher16,teacher16,Bishal,Dali,Thali,9865927345,5MM022 5MM031
